restaurant_name,zip_code,inspection_date,score,address,facility_id,process_description,serialid
Walgreen's #2462,78702,2013-08-16,97,"1144 AIRPORT BLVD AUSTIN, TX 78702 (30.271371238000484, -97.69729029699965)",2803419,Routine Inspection,17413
Murchison Middle School,78731,2013-04-11,97,"3700 NORTH HILLS DR AUSTIN, TX 78731 (30.35336554200046, -97.75870785399968)",2800443,Routine Inspection,17414
Starbuck's Coffee #6328,78756,2013-05-09,100,"4400 N LAMAR BLVD AUSTIN, TX 78756 (30.312227446000463, -97.73853499099965)",2801294,Routine Inspection,17415
Gattitown #2006,78748,2014-02-04,89,"9900 S IH 35 SVRD SB Bldg V AUSTIN, TX 78748 (30.168080801000485, -97.82498882099969)",10065343,Routine Inspection,17416
Violet Crown Cinema,78701,2013-04-09,80,"434 W 2ND ST AUSTIN, TX 78701 (30.265457481000453, -97.7480837009997)",10578995,Routine Inspection,17417
"Southwest Key Cafe' del Sol, LLC",78721,2013-12-12,91,"6002 JAIN LN AUSTIN, TX 78721 (30.26050546500045, -97.68299802599967)",10085428,Routine Inspection,17418
A & M Food Mart,78722,2012-03-15,100,"2204 AIRPORT BLVD AUSTIN, TX 78722 (30.285664692000466, -97.70601584199966)",10595356,Routine Inspection,17419
St. Elmo Elementary,78745,2013-12-02,92,"600 W ST ELMO RD AUSTIN, TX 78745 (30.221435346000476, -97.77364799699967)",2800265,Routine Inspection,17420
La Hacienda Mkt #6,78744,2012-09-20,72,"6425 S IH 35 SVRD NB Unit 120 AUSTIN, TX 78744 (30.188402392000455, -97.7461486959997)",10375990,Routine Inspection,17421
Tacodeli III,78756,2011-03-14,100,"4200 N LAMAR BLVD Unit 100 AUSTIN, TX 78756 (30.310347787000467, -97.7398449479997)",10423805,Routine Inspection,17422
North Austin Medical Ctr.,78758,2011-06-28,97,"12221 N MOPAC EXPY NB AUSTIN, TX 78758 (30.41225687600047, -97.7079937099997)",2800737,Routine Inspection,17423
Mi Pueblo Meat Market,78724,2013-03-22,78,"6575 DECKER LN Bunit 101 AUSTIN, TX 78724 (30.290283890000467, -97.62855545699966)",10290366,Routine Inspection,17424
Sims Elementary,78721,2011-03-28,97,"1203 SPRINGDALE RD AUSTIN, TX 78721 (30.279464308000456, -97.68673483899966)",2800259,Routine Inspection,17425
Vespaio,78704,2012-09-10,86,"1610 S CONGRESS AVE AUSTIN, TX 78704 (30.247180857000444, -97.75059938599969)",2801096,Routine Inspection,17426
"Austin Scoops, LLC",78749,2012-11-20,90,"9500-1/2 ESCARPMENT BLVD AUSTIN, TX 78749 (30.215311012000484, -97.85749815199966)",2802996,Routine Inspection,17427
Bowie H.S. Culinary Kitchen,78749,2011-10-18,96,"4103 W SLAUGHTER LN AUSTIN, TX 78749 (30.18901687200048, -97.85685750499965)",2803191,Routine Inspection,17428
Ramos Restaurant #3,78728,2011-04-12,89,"14611 BURNET RD Unit 103 AUSTIN, TX 78728 (30.450489496000444, -97.69540826999969)",10435735,Routine Inspection,17429
MN - Manor New Tech High School,78653,2012-05-15,90,"10323 E US 290 HWY EB MANOR, TX 78653 (30.339943149000476, -97.5295588619997)",10018050,Routine Inspection,17430
St. Louis Catholic Church,78757,2013-09-06,100,"7601 BURNET RD AUSTIN, TX 78757 (30.35246420700048, -97.73305472699968)",2801864,Routine Inspection,17431
Dairy Queen,78741,2011-04-23,80,"1501 TOWN CREEK DR AUSTIN, TX 78741 (30.241974193000488, -97.72697515399966)",2800452,Routine Inspection,17432
Child Inc. - Fountain Plaza,78751,2011-09-20,100,"825 E 53RD HALF ST AUSTIN, TX 78751 (30.313848984000458, -97.7147106649997)",2800499,Routine Inspection,17433
Boat House Grill,78732,2013-02-22,84,"6816 N FM 620 RD Unit B AUSTIN, TX 78732 (30.367803324000477, -97.89832816899968)",2801482,Routine Inspection,17434
Mariscos Seafood Restaurant,78741,2013-06-20,74,"2121 E OLTORF ST Unit 16 AUSTIN, TX 78741 (30.23041553900049, -97.7324423879997)",10748650,Routine Inspection,17435
Foreign and Domestic Food & Drink,78751,2013-07-10,91,"306 E 53RD ST AUSTIN, TX 78751 (30.316925998000443, -97.71954772099969)",10411131,Routine Inspection,17436
West Campus Market,78705,2012-07-31,97,"709 W 22ND ST AUSTIN, TX 78705 (30.28525370200049, -97.7459624229997)",10134045,Routine Inspection,17437
Sagiang Restaurant,78759,2013-04-02,92,"12636 RESEARCH BLVD SB AUSTIN, TX 78759 (30.431715420000444, -97.76537252699967)",2801389,Routine Inspection,17438
Walnut Market #2,78723,2011-07-20,100,"5517 CAMERON RD AUSTIN, TX 78723 (30.313428436000436, -97.70446308099969)",10031959,Routine Inspection,17439
Dell Dining PS2,78753,2011-05-06,100,"701 E PARMER LN AUSTIN, TX 78753 (30.403675708000435, -97.6605025349997)",10090358,Routine Inspection,17440
Rawshe Hookah Cafe,78753,2012-03-29,96,"11331 N LAMAR BLVD AUSTIN, TX 78753 (30.38255531700048, -97.68599339799965)",10497880,Routine Inspection,17441
Barnes & Noble Book & Cafe,78759,2012-04-30,100,"10000 RESEARCH BLVD SB AUSTIN, TX 78759 (30.392828885000483, -97.74696206499965)",2800943,Routine Inspection,17442
Bungalow,78701,2013-11-21,86,"92 RAINEY ST AUSTIN, TX 78701 (30.260450982000464, -97.7381796679997)",10810753,Routine Inspection,17443
Lee's Almost By The Lake,78669,2013-09-27,97,"801 S PACE BEND RD BRIARCLIFF, TX 78669 (30.425652727000454, -98.0852981009997)",10471536,Routine Inspection,17444
Hill Country Middle School,78746,2011-04-15,100,"1300 WALSH TARLTON LN AUSTIN, TX 78746 (30.27076718900048, -97.80281645099967)",2800337,Routine Inspection,17445
Frank & Angie's Restaurant,78701,2013-04-24,85,"508 WEST AVE AUSTIN, TX 78701 (30.26992152000048, -97.7507296719997)",2800967,Routine Inspection,17446
